"funnel_step","step_name","platform","age_range","user_count","rides_count"
"6","reviews","android","18-24","126","4500"
"6","reviews","android","25-34","241","8647"
"6","reviews","android","35-44","390","13884"
"6","reviews","android","45-54","137","4879"
"6","reviews","android","","379","13569"
"6","reviews","ios","18-24","298","10741"
"6","reviews","ios","25-34","531","19072"
"6","reviews","ios","35-44","792","28545"
"6","reviews","ios","45-54","278","10046"
"6","reviews","ios","","752","27023"
"6","reviews","web","18-24","49","1741"
"6","reviews","web","25-34","70","2576"
"6","reviews","web","35-44","150","5452"
"6","reviews","web","45-54","38","1362"
"6","reviews","web","","117","4174"
